game date,grade,round,team a,team a score,team a result,team b,team b score,team b result,bye,game status,venue,playing surface,time,game code,game alias,organisation,competition,competition type,season,game id
09/07/2022,Saturday U16 Boys Division 3,Round 9,Magic U16 Boys Purple,,,Panthers U16 Boys Charcoal,,,,UPCOMING,Coburg Basketball Stadium,Court 3,13:00:00,ade78b,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,ade78bbd-8a83-4ef0-a0ff-76e699a0ef19
09/07/2022,Saturday U16 Girls Division 1/2,Round 9,,,,,,,Magic U16 Girls Gold,,,,,,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,
09/07/2022,Saturday U8 Mixed Division 1/2,Round 9,Rebels U8 Mixed Red,,,Magic U8 Mixed Purple,,,,UPCOMING,Oak Park Stadium,Court 1,08:30:00,93bf77,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,93bf7760-0555-4326-9df6-8292431fb911
16/07/2022,Saturday U10 Boys Division 3,Round 10,STARS U10 Boys EW,,,Magic U10 Boys Purple,,,,UPCOMING,Coburg Basketball Stadium,Court 1,09:15:00,89e463,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,89e463b8-9394-483c-aff2-24bacdfe90bf
16/07/2022,Saturday U10 Boys Division 3,Round 10,Jets U10 Boys Yellow,,,Magic U10 Boys Gold,,,,UPCOMING,Coburg Basketball Stadium,Court 2,09:15:00,d01901,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,d0190136-5d22-4cb7-8003-2995a82e0793
16/07/2022,Saturday U10 Girls Division 2,Round 10,Panthers U10 Girls Black,,,Magic U10 Girls Gold,,,,UPCOMING,Mercy College,Court 1,08:30:00,54bc82,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,54bc82e0-dc63-47d7-8eb5-3000398c3e99
16/07/2022,Saturday U10 Girls Division 2,Round 10,Magic U10 Girls Purple,,,SUBC-CG101,,,,UPCOMING,Coburg Basketball Stadium,Court 3,09:15:00,c82039,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,c82039f3-18cf-435a-9cc6-d55626f98c17
16/07/2022,Saturday U12 Boys Division 1,Round 10,Piranhas U12 Boys Gold,,,Magic U12 Boys Purple,,,,UPCOMING,Coburg Basketball Stadium,Court 1,10:00:00,8649a2,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,8649a299-9570-465d-9c27-a137644350e6
16/07/2022,Saturday U12 Boys Division 2,Round 10,Jets U12 Boys Red,,,Magic U12 Boys Gold,,,,UPCOMING,Coburg Senior High School,Court 1,10:00:00,0745ca,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,0745ca35-ebb2-4f00-86e3-91b9f5c32a15
16/07/2022,Saturday U12 Boys Division 3,Round 10,,,,,,,Magic U12 Boys Black,,,,,,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,
16/07/2022,Saturday U12 Boys Division 4,Round 10,Warriors U12 Boys White,,,Magic U12 Boys Diamond,,,,UPCOMING,St John's College (Preston),Court 1,10:00:00,9bd79d,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,9bd79d01-fb46-4052-bdf6-2fb5249a8b1a
16/07/2022,Saturday U12 Girls Division 1/2,Round 10,STARS U12 Girls MJ,,,Magic U12 Girls Purple,,,,UPCOMING,Coburg Senior High School,Court 1,10:45:00,dba029,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,dba029ef-1da7-4a87-9713-9b6a723c3765
16/07/2022,Saturday U12 Girls Division 3/4,Round 10,Magic U12 Girls Black,,,St Fidelis U12 Girls Green,,,,UPCOMING,St John's College (Preston),Court 1,10:45:00,2bee62,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,2bee62d8-37ab-4191-aead-cdde46511ea8
16/07/2022,Saturday U12 Girls Division 3/4,Round 10,Melbourne Warriors u/12g,,,Magic U12 Girls Gold,,,,UPCOMING,Pascoe Vale Girls College,Court 1,10:45:00,bd1885,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,bd188520-1092-4bd2-ad30-dc87d49cc9cf
16/07/2022,Saturday U14 Boys Division 3,Round 10,Magic U14 Boys Black,,,St Fidelis U14 Boys Black,,,,UPCOMING,Mercy College,Court 1,11:30:00,1461fa,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,1461fa07-da2e-4d32-b5d1-3cb31d6b4098
16/07/2022,Saturday U14 Boys Division 5,Round 10,Magic U14 Boys Purple,,,Magic U14 Boys Gold,,,,UPCOMING,Mercy College,Court 1,12:15:00,5135f9,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,5135f951-f0cc-4acc-bd57-8766c9b97a7e
16/07/2022,Saturday U14 Girls Division 3,Round 10,Magic U14 Girls Purple,,,Jets U14 Girls Yellow,,,,UPCOMING,Oak Park Stadium,Court 1,12:15:00,5a6c33,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,5a6c3336-25b5-49f9-a676-f50669d87b9d
16/07/2022,Saturday U14 Girls Division 3,Round 10,STARS U14 Girls Yellow,,,Magic U14 Girls Gold,,,,UPCOMING,Dallas Brooks Community Primary School,Court 2,13:00:00,dc1956,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,dc195629-7a9b-4dc6-bc8d-844f795ab675
16/07/2022,Saturday U16 Boys Division 2,Round 10,Jets U16 Boys Orange,,,Magic U16 Boys Gold,,,,UPCOMING,Coburg Basketball Stadium,Court 2,13:00:00,3575ca,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,3575ca4c-5557-4e45-995a-8277aa1eb036
16/07/2022,Saturday U16 Boys Division 3,Round 10,STARS U16 Boys KG,,,Magic U16 Boys Purple,,,,UPCOMING,Dallas Brooks Community Primary School,Court 2,13:45:00,e9d8c4,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,e9d8c4c3-0975-4c65-8259-fea1e96bb762
16/07/2022,Saturday U16 Girls Division 1/2,Round 10,Magic U16 Girls Gold,,,Jets U16 Girls Blue,,,,UPCOMING,Coburg Basketball Stadium,Court 4,13:45:00,7f41a2,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,7f41a273-00d3-47d4-8c99-e95fbbfaa3ad
16/07/2022,Saturday U8 Mixed Division 1/2,Round 10,Magic U8 Mixed Purple,,,SUBC-CG81,,,,UPCOMING,Coburg Basketball Stadium,Court 1,08:30:00,08deb4,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,08deb432-7b06-4db8-bfbd-ba44e36eebb3
23/07/2022,Saturday U10 Boys Division 3,Round 11,Magic U10 Boys Purple,,,Newlands U10 Boys GATORS,,,,UPCOMING,St John's College (Preston),Court 1,08:30:00,b0c8b0,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,b0c8b0e5-0721-49dc-900c-901aa89a5dce
23/07/2022,Saturday U10 Boys Division 3,Round 11,Magic U10 Boys Gold,,,Newlands U10 Boys MINIONS,,,,UPCOMING,Coburg Basketball Stadium,Court 1,09:15:00,641158,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,64115827-84a7-49b9-b3d0-b639a6ff3e1d
23/07/2022,Saturday U10 Girls Division 2,Round 11,Magic U10 Girls Gold,,,Jets U10 Girls Yellow,,,,UPCOMING,Coburg Senior High School,Court 1,09:15:00,2ef063,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,2ef063e5-c4fa-44e4-8375-fa78e8f6daaf
23/07/2022,Saturday U10 Girls Division 2,Round 11,Magic U10 Girls Purple,,,Rebels U10 Girls Red,,,,UPCOMING,Coburg Basketball Stadium,Court 3,09:15:00,51944b,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,51944b4b-72fa-479c-98ab-150740714958
23/07/2022,Saturday U12 Boys Division 1,Round 11,Magic U12 Boys Purple,,,STARS U12 Boys SR,,,,UPCOMING,Dallas Brooks Community Primary School,Court 1,09:15:00,0af54b,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,0af54bd8-d78d-4a63-b6e0-3c235035ed91
23/07/2022,Saturday U12 Boys Division 2,Round 11,Magic U12 Boys Gold,,,Warriors U12 Boys Black,,,,UPCOMING,Coburg Basketball Stadium,Court 2,10:00:00,69406a,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,69406aa4-391e-478e-8c9c-6fc9369ac833
23/07/2022,Saturday U12 Boys Division 3,Round 11,St Fidelis U12 Boys Red,,,Magic U12 Boys Black,,,,UPCOMING,Northcote High School,Court 1,10:00:00,f0cfaf,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,f0cfaf75-41c4-46fd-8c95-195e12e32a7c
23/07/2022,Saturday U12 Boys Division 4,Round 11,Magic U12 Boys Diamond,,,Jets U12 Boys Blue,,,,UPCOMING,Coburg Basketball Stadium,Court 3,10:00:00,6508a2,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,6508a20e-1dd6-4c61-8c75-cb5beff5c85c
23/07/2022,Saturday U12 Girls Division 1/2,Round 11,Magic U12 Girls Purple,,,Newlands U12 Girls COYOTES,,,,UPCOMING,Coburg Basketball Stadium,Court 2,10:45:00,02e61c,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,02e61cf2-b4bb-4ad5-bced-a955d2fd0254
23/07/2022,Saturday U12 Girls Division 3/4,Round 11,Magic U12 Girls Gold,,,STARS U12 Girls U12 EW,,,,UPCOMING,St John's College (Preston),Court 1,10:45:00,4d987d,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,4d987d27-55f8-4bfc-851f-ef19d75b2656
23/07/2022,Saturday U12 Girls Division 3/4,Round 11,Rebels U12 Girls White,,,Magic U12 Girls Black,,,,UPCOMING,Pascoe Vale Girls College,Court 1,10:45:00,3a4198,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,3a4198ee-6a20-4bc4-8629-09add1fe22af
23/07/2022,Saturday U14 Boys Division 3,Round 11,Magic U14 Boys Black,,,Newlands U14 Boys GLORY,,,,UPCOMING,Mercy College,Court 1,11:30:00,82c49f,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,82c49f6b-aae2-4b57-b755-1716d3b8bf37
23/07/2022,Saturday U14 Boys Division 5,Round 11,Magic U14 Boys Gold,,,Newlands U14 Boys DRAGONS,,,,UPCOMING,Northcote High School,Court 1,12:15:00,5a70f8,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,5a70f80d-a985-45d8-be3b-c87f9d5f136a
23/07/2022,Saturday U14 Boys Division 5,Round 11,Magic U14 Boys Purple,,,Newlands U14 Boys REDBACKS,,,,UPCOMING,Mercy College,Court 1,12:15:00,8fa6bb,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,8fa6bb81-9e41-4bcd-a37b-404ee816e385
23/07/2022,Saturday U14 Girls Division 3,Round 11,St Fidelis U14 Girls White,,,Magic U14 Girls Purple,,,,UPCOMING,Northcote High School,Court 1,13:00:00,207889,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,207889a7-890f-4e6d-b74d-b2d9122d26e4
23/07/2022,Saturday U14 Girls Division 3,Round 11,Magic U14 Girls Gold,,,Rebels U14 Girls White,,,,UPCOMING,Dallas Brooks Community Primary School,Court 2,13:00:00,9d653b,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,9d653b05-2e43-466f-abb2-d756b814b810
23/07/2022,Saturday U16 Boys Division 2,Round 11,Magic U16 Boys Gold,,,St Fidelis U16 Boys Gold,,,,UPCOMING,Coburg Senior High School,Court 1,13:00:00,9c7b0d,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,9c7b0d2e-99f0-4b2e-9289-3a42321e46fb
23/07/2022,Saturday U16 Boys Division 3,Round 11,Magic U16 Boys Purple,,,St Fidelis U16 Boys Purple,,,,UPCOMING,Pascoe Vale Girls College,Court 1,13:00:00,3ff326,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,3ff326ca-31a3-4d33-9599-b797c2fa91d6
23/07/2022,Saturday U16 Girls Division 1/2,Round 11,Warriors U16 Girls Orange,,,Magic U16 Girls Gold,,,,UPCOMING,Coburg Basketball Stadium,Court 1,13:45:00,2e894c,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,2e894ca3-0750-47f8-9552-b41068e2db83
23/07/2022,Saturday U8 Mixed Division 1/2,Round 11,Melbourne Warriors U8s Mixed,,,Magic U8 Mixed Purple,,,,UPCOMING,Pascoe Vale Girls College,Court 1,08:30:00,77bd4f,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,77bd4f22-b7a8-4c5c-8cc9-81ffc06d19a7
30/07/2022,Saturday U10 Boys Division 3,Round 12,Warriors U10 Boys Orange,,,Magic U10 Boys Purple,,,,UPCOMING,Northcote High School,Court 1,08:30:00,9696ca,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,9696cac2-8a07-45af-a422-43a93388f783
30/07/2022,Saturday U10 Boys Division 3,Round 12,Newlands U10 Boys BULLS,,,Magic U10 Boys Gold,,,,UPCOMING,St John's College (Preston),Court 1,08:30:00,6c9f3d,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,6c9f3d54-90fd-4f41-8f35-3c96676492e9
30/07/2022,Saturday U10 Girls Division 2,Round 12,Newlands U10 Girls ELECTRIC SLOTHS,,,Magic U10 Girls Gold,,,,UPCOMING,Coburg Basketball Stadium,Court 4,09:15:00,196be0,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,196be0d1-0aa1-47df-9c9a-4b3185d8e470
30/07/2022,Saturday U10 Girls Division 2,Round 12,Panthers U10 Girls Black,,,Magic U10 Girls Purple,,,,UPCOMING,Oak Park Stadium,Court 1,09:15:00,ea16b6,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,ea16b68a-b686-4ec1-80fa-fef60593b509
30/07/2022,Saturday U12 Boys Division 1,Round 12,Jets U12 Boys Yellow,,,Magic U12 Boys Purple,,,,UPCOMING,Northcote High School,Court 1,09:15:00,3a3931,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,3a3931f7-e7af-4b53-8bde-7bee9b6625cb
30/07/2022,Saturday U12 Boys Division 2,Round 12,Panthers U12 Boys Green,,,Magic U12 Boys Gold,,,,UPCOMING,Dallas Brooks Community Primary School,Court 2,10:00:00,85a364,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,85a3643c-cf72-457d-9b63-15092a614695
30/07/2022,Saturday U12 Boys Division 3,Round 12,Magic U12 Boys Black,,,Panthers U12 Boys White,,,,UPCOMING,Mercy College,Court 1,10:00:00,4c6768,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,4c6768c9-1989-4e83-9629-149111507da2
30/07/2022,Saturday U12 Boys Division 4,Round 12,Newlands U12 Boys COUGARS,,,Magic U12 Boys Diamond,,,,UPCOMING,Coburg Basketball Stadium,Court 4,10:00:00,e166ca,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,e166ca84-d770-48fe-a872-c0e86e10d7cc
30/07/2022,Saturday U12 Girls Division 1/2,Round 12,Newlands U12 Girls HOOPS,,,Magic U12 Girls Purple,,,,UPCOMING,Coburg Basketball Stadium,Court 3,10:45:00,c6a7c7,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,c6a7c708-44d3-4b46-be40-846e3f521161
30/07/2022,Saturday U12 Girls Division 3/4,Round 12,Magic U12 Girls Black,,,Thunder U12 Girls Blue,,,,UPCOMING,Dallas Brooks Community Primary School,Court 1,10:45:00,b26ccf,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,b26ccf55-25ed-4f7e-a823-939d32cc0d10
30/07/2022,Saturday U12 Girls Division 3/4,Round 12,,,,,,,Magic U12 Girls Gold,,,,,,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,
30/07/2022,Saturday U14 Boys Division 3,Round 12,Warriors U14 Boys Black,,,Magic U14 Boys Black,,,,UPCOMING,St John's College (Preston),Court 1,11:30:00,fda1c1,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,fda1c16c-1a80-4fb9-b728-7ebcebc216af
30/07/2022,Saturday U14 Boys Division 5,Round 12,St Fidelis U14 Boys White,,,Magic U14 Boys Gold,,,,UPCOMING,Pascoe Vale Girls College,Court 1,11:30:00,821066,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,8210663f-de7b-4093-ab3f-3f4bfdcb21c8
30/07/2022,Saturday U14 Boys Division 5,Round 12,Warriors U14 Boys White,,,Magic U14 Boys Purple,,,,UPCOMING,Northcote High School,Court 1,12:15:00,9b45bd,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,9b45bd86-fc7a-45f9-9479-cbb91ce5a834
30/07/2022,Saturday U14 Girls Division 3,Round 12,Magic U14 Girls Purple,,,St Fidelis U14 Girls Silver,,,,UPCOMING,Dallas Brooks Community Primary School,Court 1,12:15:00,d812ab,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,d812ab1e-a8e7-43ed-bada-c3e63fc16002
30/07/2022,Saturday U14 Girls Division 3,Round 12,Jets U14 Girls Yellow,,,Magic U14 Girls Gold,,,,UPCOMING,Northcote High School,Court 1,13:00:00,b0c3fc,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,b0c3fc99-6f2f-4cb2-a3ad-4e515264fe2b
30/07/2022,Saturday U16 Boys Division 2,Round 12,STARS U16 Boys RW,,,Magic U16 Boys Gold,,,,UPCOMING,Coburg Basketball Stadium,Court 2,13:00:00,85b7fa,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,85b7fa00-6e0f-4aa7-8e1c-a11f2c2a8c77
30/07/2022,Saturday U16 Boys Division 3,Round 12,Warriors U16 Boys White,,,Magic U16 Boys Purple,,,,UPCOMING,Dallas Brooks Community Primary School,Court 1,14:30:00,85adfa,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,85adfaac-b276-4d9a-8bf5-34e63781a631
30/07/2022,Saturday U16 Girls Division 1/2,Round 12,Magic U16 Girls Gold,,,St Fidelis U16 Girls White,,,,UPCOMING,Coburg Senior High School,Court 1,13:45:00,c6a615,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,c6a6153a-4d15-4747-94b9-85138a0f936c
30/07/2022,Saturday U8 Mixed Division 1/2,Round 12,Magic U8 Mixed Purple,,,Warriors U8 Mixed,,,,UPCOMING,Coburg Basketball Stadium,Court 2,08:30:00,d0698a,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,d0698ad2-5789-4ae7-9ec4-b9c07901190a
06/08/2022,Saturday U10 Boys Division 3,Round 13,Magic U10 Boys Purple,,,Warriors U10 Boys White,,,,UPCOMING,Mercy College,Court 1,09:15:00,6ef6b4,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,6ef6b470-1b48-411e-bc1f-0fb1ace3e00a
06/08/2022,Saturday U10 Boys Division 3,Round 13,Magic U10 Boys Gold,,,Warriors U10 Boys Black,,,,UPCOMING,Northcote High School,Court 1,08:30:00,326008,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,326008a5-69ef-4692-be39-1a1958c1a05a
06/08/2022,Saturday U10 Girls Division 2,Round 13,Magic U10 Girls Purple,,,Jets U10 Girls Yellow,,,,UPCOMING,Pascoe Vale Girls College,Court 1,09:15:00,4fd99a,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,4fd99a47-614f-4978-b5e5-48857dac33c2
06/08/2022,Saturday U10 Girls Division 2,Round 13,,,,,,,Magic U10 Girls Gold,,,,,,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,
06/08/2022,Saturday U12 Boys Division 1,Round 13,Magic U12 Boys Purple,,,Warriors U12 Boys Red,,,,UPCOMING,Northcote High School,Court 1,09:15:00,dc32ba,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,dc32ba4d-e9ff-4ce7-b0c6-ae18048676a4
06/08/2022,Saturday U12 Boys Division 2,Round 13,Magic U12 Boys Gold,,,Newlands U12 Boys LAKERS,,,,UPCOMING,Dallas Brooks Community Primary School,Court 2,10:00:00,908392,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,9083929a-2a32-4d38-9b79-9f73bea2bd46
06/08/2022,Saturday U12 Boys Division 3,Round 13,STARS U12 Boys CR,,,Magic U12 Boys Black,,,,UPCOMING,Oak Park Stadium,Court 1,10:00:00,deb48e,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,deb48ee2-222f-434a-9643-de60bc375e54
06/08/2022,Saturday U12 Boys Division 4,Round 13,Magic U12 Boys Diamond,,,Rebels U12 Boys Blue,,,,UPCOMING,Dallas Brooks Community Primary School,Court 2,10:45:00,a58e28,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,a58e286f-9b8a-4324-8546-6e8be8c26cb1
06/08/2022,Saturday U12 Girls Division 1/2,Round 13,Magic U12 Girls Purple,,,Panthers U12 Girls Black,,,,UPCOMING,Oak Park Stadium,Court 1,10:45:00,22b6aa,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,22b6aae7-9a66-47d0-8a12-35847c68a5b1
06/08/2022,Saturday U12 Girls Division 3/4,Round 13,St Fidelis U12 Girls Blue,,,Magic U12 Girls Gold,,,,UPCOMING,St John's College (Preston),Court 1,10:45:00,4bb960,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,4bb9600e-97d2-45f2-b28b-880a7156b18c
06/08/2022,Saturday U12 Girls Division 3/4,Round 13,Melbourne Warriors u/12g,,,Magic U12 Girls Black,,,,UPCOMING,Coburg Basketball Stadium,Court 4,10:45:00,647c6e,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,647c6e5a-5f1c-4413-a5b5-cd5a59683b00
06/08/2022,Saturday U14 Boys Division 3,Round 13,Magic U14 Boys Black,,,Piranhas U14 Boys Garnet,,,,UPCOMING,Northcote High School,Court 1,11:30:00,6ae21e,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,6ae21e1f-660c-4aac-8f32-5c771f7d3b92
06/08/2022,Saturday U14 Boys Division 5,Round 13,Magic U14 Boys Gold,,,Thunder U14 Boys Grey,,,,UPCOMING,Coburg Basketball Stadium,Court 4,11:30:00,87dd30,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,87dd301c-7f82-40b8-9bd2-2063487f376b
06/08/2022,Saturday U14 Boys Division 5,Round 13,Magic U14 Boys Purple,,,St Fidelis U14 Boys Green,,,,UPCOMING,Pascoe Vale Girls College,Court 1,11:30:00,7bc1f0,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,7bc1f0a6-ad5b-4cff-9aa4-b06e6bbcc4f6
06/08/2022,Saturday U14 Girls Division 3,Round 13,Rebels U14 Girls White,,,Magic U14 Girls Purple,,,,UPCOMING,Dallas Brooks Community Primary School,Court 1,12:15:00,36be8a,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,36be8a80-0fa7-4e98-bd92-31b3f2e4a7b9
06/08/2022,Saturday U14 Girls Division 3,Round 13,Magic U14 Girls Gold,,,SUBC-CG141,,,,UPCOMING,Oak Park Stadium,Court 1,12:15:00,5a8591,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,5a85912e-702c-45e6-be7e-d7263481cc1b
06/08/2022,Saturday U16 Boys Division 2,Round 13,Magic U16 Boys Gold,,,Warriors U16 Boys Black,,,,UPCOMING,Dallas Brooks Community Primary School,Court 1,13:00:00,713e8f,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,713e8fc3-e106-4099-b98d-47f6c4389f63
06/08/2022,Saturday U16 Boys Division 3,Round 13,Magic U16 Boys Purple,,,St Fidelis U16 Boys White,,,,UPCOMING,Mercy College,Court 1,13:00:00,1e5806,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,1e580675-a987-4c13-a032-60231c363bbb
06/08/2022,Saturday U16 Girls Division 1/2,Round 13,Magic U16 Girls Gold,,,St Fidelis U16 Girls Blue,,,,UPCOMING,Coburg Senior High School,Court 1,13:45:00,566294,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,56629463-3b69-4585-8ab3-d9d5a1765c9f
06/08/2022,Saturday U8 Mixed Division 1/2,Round 13,STARS U8 Mixed MK,,,Magic U8 Mixed Purple,,,,UPCOMING,Pascoe Vale Girls College,Court 1,08:30:00,f2226b,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,f2226b55-2497-4914-93db-fe6cd198777b
13/08/2022,Saturday U10 Boys Division 3,Round 14,Piranhas U10 Mixed Neon,,,Magic U10 Boys Gold,,,,UPCOMING,Mercy College,Court 1,09:15:00,b5e966,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,b5e9663f-01cf-44aa-94ff-040d2af84731
13/08/2022,Saturday U10 Boys Division 3,Round 14,,,,,,,Magic U10 Boys Purple,,,,,,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,
13/08/2022,Saturday U10 Girls Division 2,Round 14,Magic U10 Girls Gold,,,Melbourne Warriors u/10g,,,,UPCOMING,Coburg Basketball Stadium,Court 4,09:15:00,af7d5b,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,af7d5b6c-3982-4710-b303-cb0779066295
13/08/2022,Saturday U10 Girls Division 2,Round 14,Newlands U10 Girls ELECTRIC SLOTHS,,,Magic U10 Girls Purple,,,,UPCOMING,Mercy College,Court 1,08:30:00,47d6b1,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,47d6b14c-ebb0-4a7f-adc7-88376674c564
13/08/2022,Saturday U12 Boys Division 1,Round 14,St Fidelis U12 Boys Black,,,Magic U12 Boys Purple,,,,UPCOMING,Dallas Brooks Community Primary School,Court 1,09:15:00,86854c,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,86854c43-a8f2-40f7-9804-8d25049b5598
13/08/2022,Saturday U12 Boys Division 2,Round 14,Rebels U12 Boys Red,,,Magic U12 Boys Gold,,,,UPCOMING,Coburg Basketball Stadium,Court 2,10:00:00,656c94,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,656c94c3-fe1e-47ea-8035-4f1578856ae8
13/08/2022,Saturday U12 Boys Division 3,Round 14,Magic U12 Boys Black,,,Piranhas U12 Boys Orange,,,,UPCOMING,Pascoe Vale Girls College,Court 1,10:00:00,c671b9,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,c671b980-50cc-46ad-a913-71bbbf5816c1
13/08/2022,Saturday U12 Boys Division 4,Round 14,Newlands U12 Boys GRIZZLIES,,,Magic U12 Boys Diamond,,,,UPCOMING,Dallas Brooks Community Primary School,Court 2,10:45:00,4f18c1,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,4f18c1b0-a83d-4f58-a1a6-e37a6c59790f
13/08/2022,Saturday U12 Girls Division 1/2,Round 14,Jets U12 Girls Blue,,,Magic U12 Girls Purple,,,,UPCOMING,Oak Park Stadium,Court 1,10:45:00,9ef244,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,9ef244f4-b315-403b-ae58-d8aaae0b9bf8
